reaction,origin,rule
R10097,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10245,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10302,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10506,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10792,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10854,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10856,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10894,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10895,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10914,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11017,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11022,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11028,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11034,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11049,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11098,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11099,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11100,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11101,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11133,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11136,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11148,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11176,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11228,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11314,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11523,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11550,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11570,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11571,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11572,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11573,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11574,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11575,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11576,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11577,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11691,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11695,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11709,map_rn2ko_spontaneous,frozenset({'spontaneous'})
