rn,url,ec,ko_list,num_ecs,num_kos,rule,notes
R00499,https://www.genome.jp/entry/R00499,3.1.2.13,,1,0,,
R00504,https://www.genome.jp/entry/R00504,2.7.8.18,,1,0,,
R00507,https://www.genome.jp/entry/R00507,3.6.2.2,,1,0,,
R00518,https://www.genome.jp/entry/R00518,2.7.2.6,,1,0,,
R00521,https://www.genome.jp/entry/R00521,3.1.2.10,,1,0,,
R00532,https://www.genome.jp/entry/R00532,4.3.1.10,,1,0,,
R00534,https://www.genome.jp/entry/R00534,3.1.6.3,,1,0,,
R00535,https://www.genome.jp/entry/R00535,2.8.2.15,,1,0,,
R00536,https://www.genome.jp/entry/R00536,2.8.2.15,,1,0,,
R00537,https://www.genome.jp/entry/R00537,2.8.2.15,,1,0,,
R00539,https://www.genome.jp/entry/R00539,3.6.1.7,K01512,1,1,,
R00542,https://www.genome.jp/entry/R00542,3.6.1.20,,1,0,,
R00544,https://www.genome.jp/entry/R00544,1.2.99.6;1.2.99.7,K07469,2,1,,
R00545,https://www.genome.jp/entry/R00545,3.5.1.17,,1,0,,
R00546,https://www.genome.jp/entry/R00546,3.5.1.15,K01437,1,1,,
R00547,https://www.genome.jp/entry/R00547,3.1.2.7,,1,0,,
R00550,https://www.genome.jp/entry/R00550,2.7.1.42,,1,0,,
R00559,https://www.genome.jp/entry/R00559,1.13.12.1,,1,0,,
R00567,https://www.genome.jp/entry/R00567,5.1.1.9,,1,0,,
R00574,https://www.genome.jp/entry/R00574,4.6.1.6,,1,0,,
R00576,https://www.genome.jp/entry/R00576,2.6.1.15,,1,0,,
R00577,https://www.genome.jp/entry/R00577,2.3.1.68,K22442,1,1,,
R00579,https://www.genome.jp/entry/R00579,5.1.1.10,,1,0,,
R00581,https://www.genome.jp/entry/R00581,1.4.1.7,,1,0,,
R00584,https://www.genome.jp/entry/R00584,2.7.1.80,,1,0,,
R00599,https://www.genome.jp/entry/R00599,2.1.1.55,,1,0,,
R00600,https://www.genome.jp/entry/R00600,2.1.1.33,K03439,1,1,,
R00612,https://www.genome.jp/entry/R00612,1.5.3.4,,1,0,,
R00616,https://www.genome.jp/entry/R00616,2.7.4.15,,1,0,,
R00628,https://www.genome.jp/entry/R00628,3.1.1.6,,1,0,,
R00635,https://www.genome.jp/entry/R00635,1.2.3.1,K00157,1,1,,
R00636,https://www.genome.jp/entry/R00636,4.1.1.1,K01568,1,1,,
R00637,https://www.genome.jp/entry/R00637,1.1.3.13,K17066,1,1,,
R00638,https://www.genome.jp/entry/R00638,1.2.99.6;1.2.99.7,K07469,2,1,,
R00639,https://www.genome.jp/entry/R00639,1.1.99.20,,1,0,,
R00643,https://www.genome.jp/entry/R00643,1.3.3.12,,1,0,,
R00649,https://www.genome.jp/entry/R00649,2.1.1.12,K08247,1,1,,
R00652,https://www.genome.jp/entry/R00652,2.6.1.73,,1,0,,
R00653,https://www.genome.jp/entry/R00653,3.5.1.31,,1,0,,
R00655,https://www.genome.jp/entry/R00655,5.1.1.2,,1,0,,
R00656,https://www.genome.jp/entry/R00656,4.1.1.57,,1,0,,
R00657,https://www.genome.jp/entry/R00657,3.4.13.12,,1,0,,
R00664,https://www.genome.jp/entry/R00664,2.3.1.127,,1,0,,
R00665,https://www.genome.jp/entry/R00665,3.5.1.20,,1,0,,
R00666,https://www.genome.jp/entry/R00666,1.5.1.24,K00298,1,1,,
R00668,https://www.genome.jp/entry/R00668,2.6.1.13,K00819,1,1,,
R00675,https://www.genome.jp/entry/R00675,1.4.1.19,,1,0,,
R00676,https://www.genome.jp/entry/R00676,1.4.1.19,,1,0,,
R00681,https://www.genome.jp/entry/R00681,1.13.99.3,,1,0,,
R00682,https://www.genome.jp/entry/R00682,3.5.1.57,,1,0,,
R00686,https://www.genome.jp/entry/R00686,5.1.1.11,,1,0,,
R00695,https://www.genome.jp/entry/R00695,2.6.1.70,,1,0,,
R00723,https://www.genome.jp/entry/R00723,3.6.1.14,,1,0,,
R00725,https://www.genome.jp/entry/R00725,2.7.1.1,K00844,1,1,,
R00735,https://www.genome.jp/entry/R00735,6.3.2.24,,1,0,,
R00739,https://www.genome.jp/entry/R00739,5.4.3.6,K21181,1,1,,
R00743,https://www.genome.jp/entry/R00743,2.8.3.3,,1,0,,
R00753,https://www.genome.jp/entry/R00753,4.1.2.36,,1,0,,
R00758,https://www.genome.jp/entry/R00758,1.1.1.17,K00009,1,1,,
R00775,https://www.genome.jp/entry/R00775,3.5.3.2,,1,0,,
R00777,https://www.genome.jp/entry/R00777,3.5.3.14,,1,0,,
R00792,https://www.genome.jp/entry/R00792,1.9.6.1,K02567,1,1,,
R00799,https://www.genome.jp/entry/R00799,1.7.3.1,K19823,1,1,,
R00807,https://www.genome.jp/entry/R00807,1.1.99.13,,1,0,,
R00808,https://www.genome.jp/entry/R00808,1.1.99.13,,1,0,,
R00809,https://www.genome.jp/entry/R00809,2.4.1.167,,1,0,,
R00810,https://www.genome.jp/entry/R00810,5.4.99.11,,1,0,,
R00822,https://www.genome.jp/entry/R00822,4.1.1.63,,1,0,,
R00827,https://www.genome.jp/entry/R00827,2.1.1.6,K00545,1,1,,
R00828,https://www.genome.jp/entry/R00828,1.14.13.31,,1,0,,
R00834,https://www.genome.jp/entry/R00834,1.1.1.200,K00085,1,1,,
R00845,https://www.genome.jp/entry/R00845,1.1.1.177,,1,0,,
R00850,https://www.genome.jp/entry/R00850,2.7.1.142,,1,0,,
R00853,https://www.genome.jp/entry/R00853,2.4.1.137,,1,0,,
